Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Praedyth's Revenge,3653573172,"""6917529415896885531""",,Legendary,Sniper Rifle,vog,Kinetic,Kinetic,1320,,Stability,2,Hunter(1344),false,false,4,14,,65,78,55,50,0,0,48,140,49,7,64,0,0,0,,Rapid-Fire Frame*,Extended Barrel*,Polygonal Rifling,Extended Mag*,Alloy Magazine,Rewind Rounds*,Opening Shot*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Fatebringer,2171478765,"""6917529387221530083""",,Legendary,Hand Cannon,vog,Kinetic,Kinetic,1320,,Reload Speed,10,Hunter(1344),true,false,4,14,,98,84,84,60,0,0,66,140,69,12,60,0,0,0,,Adaptive Frame*,Fluted Barrel,Hammer-Forged Rifling*,Accurized Rounds,Tactical Mag*,Explosive Payload*,Firefly*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Blasphemer,2782847179,"""6917529415722586422""",,Legendary,Shotgun,moon,Kinetic,Kinetic,1310,,Range,3,Hunter(1344),false,false,4,13,,70,61,70,74,0,0,46,65,31,7,40,0,0,0,,Precision Frame*,Extended Barrel*,Fluted Barrel,Extended Mag*,Steady Rounds,Surplus*,Thresh*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Blasphemer,2782847179,"""6917529377543856140""",,Legendary,Shotgun,moon,Kinetic,Kinetic,1310,,Range,4,Hunter(1344),true,false,4,13,,60,61,70,72,0,0,57,65,58,7,49,0,0,0,,Precision Frame*,Fluted Barrel,Smallbore*,Tactical Mag*,Light Mag,Surplus*,Osmosis*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Dead Man's Tale,3654674561,"""6917529337326285806""",,Exotic,Scout Rifle,dungeon,Kinetic,Kinetic,1320,,,10,Hunter(1344),true,false,4,13,,100,60,67,68,0,0,55,120,68,14,55,0,0,0,,Cranial Spike*,Corkscrew Rifling*,Flared Magwell*,Outlaw*,Fitted Stock*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Dead Man's Tale Catalyst*,,,,,,,
Fatebringer,2171478765,"""6917529415871030410""",,Legendary,Hand Cannon,vog,Kinetic,Kinetic,1310,,Reload Speed,3,Hunter(1344),true,false,4,14,,100,84,84,56,0,0,75,140,54,11,50,0,0,0,,Adaptive Frame*,Chambered Compensator,Extended Barrel*,Steady Rounds*,Alloy Magazine,Explosive Payload*,Kill Clip*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
The Deicide,217140611,"""6917529382072880648""",,Legendary,Shotgun,legendaryengram,Energy,Void,1320,,Reload Speed,10,Hunter(1344),true,false,4,14,,62,64,65,43,0,0,39,140,85,7,31,0,0,0,,Rapid-Fire Frame*,Rifled Barrel*,Smoothbore,Tactical Mag*,Steady Rounds,Lead from Gold*,One-Two Punch*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Arctic Haze,20935540,"""6917529212084144033""",,Legendary,Auto Rifle,europa,Energy,Solar,1320,,Range,10,Hunter(1344),true,false,4,12,,42,75,18,54,0,0,44,720,53,57,43,0,0,0,,Rapid-Fire Frame*,Fluted Barrel,Full Bore*,Appended Mag*,Steady Rounds,Subsistence*,Vorpal Weapon*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Retold Tale,346136302,"""6917529415624273482""",,Legendary,Shotgun,dreaming,Energy,Void,1310,,Handling,1,Hunter(1344),true,false,4,13,,64,75,70,68,0,0,64,70,47,6,42,0,0,0,,Precision Frame*,Rifled Barrel,Full Choke*,Assault Mag*,Light Mag,Slideshot*,Killing Wind*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Waking Vigil,334171687,"""6917529415689984999""",,Legendary,Hand Cannon,dreaming,Energy,Arc,1310,,Reload Speed,4,Hunter(1344),true,false,4,13,,98,90,84,47,0,0,35,140,64,14,58,0,0,0,,Adaptive Frame*,SteadyHand HCS,Sureshot HCS*,Alloy Magazine,Appended Mag*,Killing Wind*,Kill Clip*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
